# Entries uncompressed compressed fpr
8230 10010 6496 0.370592696104
8240 10010 6498 0.371454397692
8250 10010 6499 0.372316000669
8260 10010 6503 0.373177500817
8270 10010 6503 0.374038893928
8280 10010 6505 0.374900175808
8290 10010 6504 0.375761342273
8300 10010 6507 0.376622389154
8310 10010 6509 0.377483312292
8320 10010 6511 0.378344107541
8330 10010 6512 0.379204770769
8340 10010 6511 0.380065297854
8350 10010 6513 0.380925684689
8360 10010 6513 0.381785927176
8370 10010 6512 0.382646021232
8380 10010 6514 0.383505962787
8390 10010 6515 0.384365747781
8400 10010 6515 0.385225372169
8410 10010 6516 0.386084831917
8420 10010 6520 0.386944123003
8430 10010 6523 0.38780324142
8440 10010 6521 0.388662183171
8450 10010 6520 0.389520944273
